"Postnr","Bynavn","KommuneID","Kommune","Region","Formidlingsaftaledato","Salgsdato","EjTypeNr","EjdType","Boligtilstand","Udbudspris","Kontantpris","Grundvaerdi","Vurderingsaar","EjdVurdering","Foraeldrekoeb","MaeglersVaerdiansaettelse","Boligareal","Kaelderareal","Grundareal","Opfoerelsesaar","Ombygningsaar","AntalPlan","NytKokken","NytTag","Tilbygning","AntalToiletter","Vaskemaskine","NyeVinduer","NytBadevaerelse","AfstandTilCity","BebyggetAreal","AntalSovevaerelser","AfstandDagligvarer","AfstandSkole","AfstandOffentligTransport","Elevator","Gaardmiljoe","Altan","TaetVedVand","Toilet","Bad","Energimaerke","Ydervaegge","GarageCarport","Studiebolig","HvilkenEtage","FuldAdresse","id","xkoor","ykoor","long","lat"
9260,"Gistrup",851,"Aalborg","Nordjylland","11-05-2015","13-11-2015",17,"Villa, 1 fam.","God",2695000,2475000,507500,2013,1950000,NA,2500000,172,0,687,1998,NA,2,NA,0,0,0,NA,NA,NA,"0",103,"0","1200","2000","100","0","0","0",NA,NA,NA,"B","Mursten",30,NA,NA,"Sønder Tranders Vej 153A",NA,559439.42,6318825.44,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","18-10-2014","28-11-2014",15,"Helaarsgrund",NA,995000,1100000,1100000,2013,1100000,NA,1100000,NA,NA,747,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 81",NA,559112.9,6318639.95,9.9995217,56.99634022
9260,"Gistrup",851,"Aalborg","Nordjylland","25-05-2010","21-06-2010",17,"Villa, 1 fam.","God",2498000,2415000,489900,2009,2300000,NA,NA,155,0,833,1987,NA,1,NA,NA,0,2,NA,NA,NA,"10000",185,NA,"600","700","300",NA,NA,NA,NA,"2 vandskyllende toiletter","2 badevaerelser",NA,"Mursten (tegl, kalksandsten, cementsten)",0,NA,NA,"Kronen 42",NA,559787.9,6317705.85,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","18-03-2013","06-04-2013",17,"Villa, 1 fam.","God",2445000,2380000,601800,2011,2000000,NA,2445000,141,0,1206,1986,NA,1,NA,0,0,1,NA,NA,NA,"10000",141,"3","1200","1200","800","0","0","0",NA,NA,NA,"C","Mursten (tegl, kalksten, cementsten)",43,NA,NA,"Kronen 5",NA,559958.83,6317561.77,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","29-04-2014","01-08-2014",15,"Helaarsgrund",NA,995000,995000,995000,2013,995000,NA,995000,NA,NA,717,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 75",NA,559116.04,6318681.64,9.9995217,56.99634022
9260,"Gistrup",851,"Aalborg","Nordjylland","29-04-2014","04-07-2014",15,"Helaarsgrund",NA,995000,995000,500000,2012,500000,NA,995000,NA,NA,747,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 81",NA,559112.9,6318639.95,9.9995217,56.99634022
9260,"Gistrup",851,"Aalborg","Nordjylland","29-04-2014","27-05-2014",15,"Helaarsgrund",NA,995000,995000,500000,2011,500000,NA,995000,NA,NA,779,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 77",NA,559138.73,6318684.55,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","27-07-2010","06-01-2011",17,"Villa, 1 fam.","God",1598000,1375000,552000,2009,1550000,NA,NA,107,0,1040,1979,NA,1,NA,NA,0,1,NA,NA,NA,"8000",107,NA,"600","800","250",NA,NA,NA,NA,"1 vandskyllende toilet","1 badevaerelse",NA,"Mursten (tegl, kalksandsten, cementsten)",0,NA,NA,"Barken 23",NA,559897.91,6316725.49,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","22-07-2010","15-03-2011",14,"Fritidsgrund",NA,498000,380000,60600,2009,60600,NA,NA,NA,NA,3000,NA,NA,0,NA,NA,NA,0,NA,NA,NA,"6000",0,NA,"2500","2000","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gistrup Hedevej 41A, Lundby Krat",NA,560073.89,6316146.71,9.98582553,57.00070781
9260,"Gistrup",851,"Aalborg","Nordjylland","16-02-2012","27-07-2012",17,"Villa, 1 fam.","Middel",2100000,1425000,74800,2011,1550000,NA,1498000,324,0,3494,1900,1974,2,NA,0,1974,2,NA,NA,NA,"0",200,"4","3000","1000","1000","0","0","0",NA,NA,NA,NA,"BRUGES IKKE",60,NA,"0","Oppelstrupvej 25",NA,558711.44,6314364.12,9.99963353,56.99621373
9260,"Gistrup",851,"Aalborg","Nordjylland","18-11-2014","29-05-2015",17,"Villa, 1 fam.","God",1695000,1450000,204200,2013,910000,NA,1695000,168,0,945,1900,2008,2,NA,0,2008,2,NA,NA,NA,"20000",103,"4","500","300","25","0","0","0",NA,NA,NA,"C","Mursten",0,NA,NA,"Fjellerad Bygade 48",NA,561973.23,6309471.23,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","10-08-2010","20-01-2011",1,"Andel-/Aktiebolig","God",420000,398000,NA,NA,NA,0,NA,94,0,0,2004,NA,1,NA,NA,NA,1,NA,NA,NA,"8000",0,"1","300","1000","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pakhusvej 15",NA,560239.61,6317594.37,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","22-11-2013",15,"Helaarsgrund","God",1125000,995000,612000,2011,612000,NA,0,NA,NA,711,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 45",NA,559200.35,6318847.89,9.9995217,56.99634022
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","26-11-2014",15,"Helaarsgrund","God",1075000,950000,620900,2012,620900,NA,995000,NA,NA,733,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 31",NA,559225.85,6318849.23,9.98610915,57.00096809
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","06-11-2014",15,"Helaarsgrund",NA,1075000,900000,614000,2012,614000,NA,995000,NA,NA,716,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 29",NA,559264.45,6318840.34,9.99977069,56.99751056
9260,"Gistrup",851,"Aalborg","Nordjylland","08-03-2010","12-09-2010",17,"Villa, 1 fam.","God",1145000,1050000,186800,2009,1000000,NA,NA,115,60,534,1944,2001,3,NA,NA,2001,1,NA,NA,NA,"20000",85,"3","5000","300","300",NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,"Vaarstvej 189",NA,564217.26,6311021.99,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","17-04-2014","11-05-2014",17,"Villa, 1 fam.","God",2395000,2335000,496800,2011,1950000,NA,NA,167,0,856,1979,NA,1,NA,0,0,2,NA,NA,NA,"10000",167,"4","2000","1500","1000","0","0","0",NA,NA,NA,"C","Mursten",37,NA,NA,"Stubben 80",NA,560142.59,6316929.81,9.99709325,56.99744306
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","14-03-2014",15,"Helaarsgrund",NA,1125000,995000,616800,2012,616800,NA,995000,0,0,723,0,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 13",NA,559211.96,6318696.83,9.99884471,56.99634823
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","01-11-2014",15,"Helaarsgrund",NA,1125000,895000,617600,2013,617600,NA,995000,NA,NA,725,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 11",NA,559221.38,6318714.24,9.99676921,56.99742785
9260,"Gistrup",851,"Aalborg","Nordjylland","01-03-2013","31-12-2014",15,"Helaarsgrund",NA,1075000,995000,633400,2012,633400,NA,995000,NA,NA,764,NA,NA,0,NA,0,0,0,NA,NA,NA,"7000",0,"0","500","3000","500","0","0","0",NA,NA,NA,NA,NA,0,NA,NA,"Kiplings Alle 7",NA,559262.76,6318764.89,9.9995217,56.99634022
